LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:45:06 0                 
Time Ampl
1.00054102e-006 -6.60109e-013
1.00054492e-006 -6.59377e-013
1.00054883e-006 -6.61818e-013
1.00055273e-006 -6.62795e-013
1.00055664e-006 -6.63527e-013
1.00056055e-006 -6.63649e-013
1.00056445e-006 -6.64748e-013
1.00056836e-006 -6.67189e-013
1.00057227e-006 -6.68532e-013
1.00057617e-006 -6.68288e-013
1.00058008e-006 -6.69631e-013
1.00058398e-006 -6.7134e-013
1.00058789e-006 -6.70607e-013
1.0005918e-006 -6.70729e-013
1.0005957e-006 -6.71218e-013
1.00059961e-006 -6.72438e-013
1.00060352e-006 -6.73659e-013
1.00060742e-006 -6.74392e-013
1.00061133e-006 -6.75979e-013
1.00061523e-006 -6.7781e-013
1.00061914e-006 -6.82204e-013
1.00062305e-006 -6.83669e-013
1.00062695e-006 -6.87575e-013
1.00063086e-006 -6.87819e-013
1.00063477e-006 -6.89162e-013
1.00063867e-006 -6.90993e-013
1.00064258e-006 -6.92946e-013
1.00064648e-006 -6.96242e-013
1.00065039e-006 -6.97463e-013
1.0006543e-006 -6.99294e-013
1.0006582e-006 -7.00515e-013
1.00066211e-006 -7.04299e-013
1.00066602e-006 -7.0613e-013
1.00066992e-006 -7.08937e-013
1.00067383e-006 -7.10524e-013
1.00067773e-006 -7.10646e-013
1.00068164e-006 -7.12111e-013
1.00068555e-006 -7.1614e-013
1.00068945e-006 -7.18215e-013
1.00069336e-006 -7.18825e-013
1.00069727e-006 -7.209e-013
1.00070117e-006 -7.22976e-013
1.00070508e-006 -7.24196e-013
1.00070898e-006 -7.25661e-013
1.00071289e-006 -7.27004e-013
1.0007168e-006 -7.26394e-013
1.0007207e-006 -7.28713e-013
1.00072461e-006 -7.28713e-013
1.00072852e-006 -7.28713e-013
1.00073242e-006 -7.31643e-013
1.00073633e-006 -7.34328e-013
1.00074023e-006 -7.32741e-013
1.00074414e-006 -7.35671e-013
1.00074805e-006 -7.3677e-013
1.00075195e-006 -7.37136e-013
1.00075586e-006 -7.36647e-013
1.00075977e-006 -7.38723e-013
1.00076367e-006 -7.41408e-013
1.00076758e-006 -7.4446e-013
1.00077148e-006 -7.46291e-013
1.00077539e-006 -7.48977e-013
1.0007793e-006 -7.47512e-013
1.0007832e-006 -7.49709e-013
1.00078711e-006 -7.52517e-013
1.00079102e-006 -7.52395e-013
1.00079492e-006 -7.54836e-013
1.00079883e-006 -7.57766e-013
1.00080273e-006 -7.56057e-013
1.00080664e-006 -7.56301e-013
1.00081055e-006 -7.57033e-013
1.00081445e-006 -7.59597e-013
1.00081836e-006 -7.60329e-013
1.00082227e-006 -7.61428e-013
1.00082617e-006 -7.64235e-013
1.00083008e-006 -7.65456e-013
1.00083398e-006 -7.66555e-013
1.00083789e-006 -7.66799e-013
1.0008418e-006 -7.68386e-013
1.0008457e-006 -7.70949e-013
1.00084961e-006 -7.70461e-013
1.00085352e-006 -7.72292e-013
1.00085742e-006 -7.72048e-013
1.00086133e-006 -7.74855e-013
1.00086523e-006 -7.76076e-013
1.00086914e-006 -7.80715e-013
1.00087305e-006 -7.81691e-013
1.00087695e-006 -7.84133e-013
1.00088086e-006 -7.84377e-013
1.00088477e-006 -7.86086e-013
1.00088867e-006 -7.8633e-013
1.00089258e-006 -7.87795e-013
1.00089648e-006 -7.90603e-013
1.00090039e-006 -7.91091e-013
1.0009043e-006 -7.92434e-013
1.0009082e-006 -7.95607e-013
1.00091211e-006 -7.98293e-013
1.00091602e-006 -8.00612e-013
1.00091992e-006 -8.00856e-013
1.00092383e-006 -8.03786e-013
1.00092773e-006 -8.06105e-013
1.00093164e-006 -8.0696e-013
1.00093555e-006 -8.0696e-013
1.00093945e-006 -8.06105e-013
1.00094336e-006 -8.06716e-013
1.00094727e-006 -8.09768e-013
1.00095117e-006 -8.11965e-013
1.00095508e-006 -8.11477e-013
1.00095898e-006 -8.10744e-013
1.00096289e-006 -8.11965e-013
1.0009668e-006 -8.12453e-013
1.0009707e-006 -8.12697e-013
1.00097461e-006 -8.12697e-013
1.00097852e-006 -8.14284e-013
1.00098242e-006 -8.12209e-013
1.00098633e-006 -8.10134e-013
1.00099023e-006 -8.11599e-013
1.00099414e-006 -8.12453e-013
1.00099805e-006 -8.13552e-013
1.00100195e-006 -8.15871e-013
1.00100586e-006 -8.15139e-013
1.00100977e-006 -8.14162e-013
1.00101367e-006 -8.12575e-013
1.00101758e-006 -8.10256e-013
1.00102148e-006 -8.10744e-013
1.00102539e-006 -8.105e-013
1.0010293e-006 -8.08669e-013
1.0010332e-006 -8.09157e-013
1.00103711e-006 -8.09035e-013
1.00104102e-006 -8.10134e-013
1.00104492e-006 -8.09523e-013
1.00104883e-006 -8.09157e-013
1.00105273e-006 -8.10622e-013
1.00105664e-006 -8.11599e-013
1.00106055e-006 -8.09646e-013
1.00106445e-006 -8.08669e-013
1.00106836e-006 -8.11721e-013
1.00107227e-006 -8.1343e-013
1.00107617e-006 -8.14528e-013
1.00108008e-006 -8.15505e-013
1.00108398e-006 -8.14528e-013
1.00108789e-006 -8.16604e-013
1.0010918e-006 -8.19655e-013
1.0010957e-006 -8.21853e-013
1.00109961e-006 -8.24294e-013
1.00110352e-006 -8.26735e-013
1.00110742e-006 -8.26247e-013
1.00111133e-006 -8.27102e-013
1.00111523e-006 -8.30397e-013
1.00111914e-006 -8.3406e-013
1.00112305e-006 -8.3528e-013
1.00112695e-006 -8.36623e-013
1.00113086e-006 -8.40041e-013
1.00113477e-006 -8.40529e-013
1.00113867e-006 -8.41384e-013
1.00114258e-006 -8.42849e-013
1.00114648e-006 -8.41384e-013
1.00115039e-006 -8.42727e-013
1.0011543e-006 -8.46633e-013
1.0011582e-006 -8.45534e-013
1.00116211e-006 -8.44802e-013
1.00116602e-006 -8.46267e-013
1.00116992e-006 -8.47976e-013
1.00117383e-006 -8.47731e-013
1.00117773e-006 -8.4883e-013
1.00118164e-006 -8.4822e-013
1.00118555e-006 -8.4822e-013
1.00118945e-006 -8.46389e-013
1.00119336e-006 -8.47243e-013
1.00119727e-006 -8.49562e-013
1.00120117e-006 -8.50783e-013
1.00120508e-006 -8.51638e-013
1.00120898e-006 -8.51394e-013
1.00121289e-006 -8.52004e-013
1.0012168e-006 -8.54445e-013
1.0012207e-006 -8.54079e-013
1.00122461e-006 -8.53835e-013
1.00122852e-006 -8.54079e-013
1.00123242e-006 -8.54445e-013
1.00123633e-006 -8.54445e-013
1.00124023e-006 -8.53713e-013
1.00124414e-006 -8.53957e-013
1.00124805e-006 -8.5298e-013
1.00125195e-006 -8.52858e-013
1.00125586e-006 -8.53225e-013
1.00125977e-006 -8.54323e-013
1.00126367e-006 -8.56398e-013
1.00126758e-006 -8.56643e-013
1.00127148e-006 -8.58352e-013
1.00127539e-006 -8.56032e-013
1.0012793e-006 -8.553e-013
1.0012832e-006 -8.56398e-013
1.00128711e-006 -8.55666e-013
1.00129102e-006 -8.553e-013
1.00129492e-006 -8.5591e-013
1.00129883e-006 -8.56521e-013
1.00130273e-006 -8.56276e-013
1.00130664e-006 -8.55788e-013
1.00131055e-006 -8.56398e-013
1.00131445e-006 -8.55544e-013
1.00131836e-006 -8.57375e-013
1.00132227e-006 -8.57985e-013
1.00132617e-006 -8.59206e-013
1.00133008e-006 -8.60915e-013
1.00133398e-006 -8.61525e-013
1.00133789e-006 -8.61037e-013
1.0013418e-006 -8.62502e-013
1.0013457e-006 -8.63601e-013
1.00134961e-006 -8.62258e-013
1.00135352e-006 -8.6299e-013
1.00135742e-006 -8.64821e-013
1.00136133e-006 -8.64943e-013
1.00136523e-006 -8.65065e-013
1.00136914e-006 -8.64943e-013
1.00137305e-006 -8.65798e-013
1.00137695e-006 -8.66286e-013
1.00138086e-006 -8.66164e-013
1.00138477e-006 -8.65065e-013
1.00138867e-006 -8.65065e-013
1.00139258e-006 -8.66286e-013
1.00139648e-006 -8.67263e-013
1.00140039e-006 -8.67263e-013
1.0014043e-006 -8.66408e-013
1.0014082e-006 -8.69826e-013
1.00141211e-006 -8.71535e-013
1.00141602e-006 -8.72268e-013
1.00141992e-006 -8.72023e-013
1.00142383e-006 -8.72512e-013
1.00142773e-006 -8.71779e-013
1.00143164e-006 -8.71291e-013
1.00143555e-006 -8.72634e-013
1.00143945e-006 -8.74221e-013
1.00144336e-006 -8.76662e-013
1.00144727e-006 -8.75563e-013
1.00145117e-006 -8.7593e-013
